date,Mkt-RF,SMB,HML,RMW,CMA,MOM,STR,BAB,QMJ,RF
198508,-1.02,-0.32,2.28,0.05,1.89,1.82,1.82,0.74,0.39,0.55
198509,-4.54,-1.82,1.32,1.2,1.61,1.48,-1.84,0.41,2.91,0.6
198510,4.02,-1.55,0.78,0.77,-1.11,4.87,0.72,2.18,0.45,0.65
198511,6.48,0,-2.87,0.35,-2.33,-0.41,2.35,2.34,1.5,0.61
198512,3.88,-0.4,-1.53,0.85,-1.81,-0.13,-0.63,3.19,1.27,0.65
198601,0.65,1.01,0.53,-1.99,-2.05,2.96,0.73,1.76,-2.31,0.56
198602,7.13,-0.75,-0.94,1.1,-1.39,2.78,-1.63,4.45,1.29,0.53
198603,4.88,-0.56,-0.44,1.31,0.98,2.45,-0.24,4.48,0.68,0.6
198604,-1.31,2.93,-2.85,2.99,0.03,-0.5,2.84,1.77,1.99,0.52
198605,4.62,-1.26,-0.11,2.05,1.11,2.02,0.97,3.28,0.71,0.49
198606,1.03,-0.87,1.4,1.78,0.88,5.15,-2.35,5.04,1.97,0.52
198607,-6.45,-3.56,4.78,-0.75,0.61,1.8,-3.05,1.47,1.65,0.52
198608,6.07,-4.35,3.52,-1.6,3.24,-5.01,1.16,-1.63,-1.71,0.46
198609,-8.6,1.96,3.19,-0.11,3.62,-5.86,-0.33,-2.35,-1.04,0.45
198610,4.66,-2.33,-1.32,0.18,0.89,2.69,3.55,-1.5,0.75,0.46
198611,1.17,-1.88,-0.06,1.1,0.61,-0.32,0.69,-0.95,2.35,0.39
198612,-3.27,0.08,0.37,0.99,-0.03,0.4,0.55,-2.34,1.29,0.49
198701,12.47,-1.51,-3.18,0.24,-1.08,2.09,0.43,3.52,0.63,0.42
198702,4.39,3.41,-5.99,-0.78,-2.76,-2.17,-1.09,0.13,0.14,0.43
198703,1.64,0.21,1.65,1.3,4.04,1.59,1.83,5.01,-0.55,0.47
198704,-2.11,-1.55,-0.33,-0.47,1.22,0.26,-1.88,0.08,0.18,0.44
198705,0.11,-0.58,0.13,0.66,1.32,-0.69,-0.26,-0.37,0.26,0.38
198706,3.94,-2.29,1.07,1.8,0.83,-0.2,0.11,2.04,1.36,0.48
198707,3.85,-1.09,0.73,-0.39,1.6,2.67,-0.16,4.55,-0.59,0.46
198708,3.52,-0.9,-0.95,1.96,-1.63,-0.87,2.53,-0.48,3,0.47
198709,-2.59,0.38,0.29,-0.97,1.86,0.71,-0.41,0.28,-0.58,0.45
198710,-23.24,-8.13,4.2,1.73,2.3,-7.86,0.09,-12.75,5.51,0.6
198711,-7.77,2.85,3.09,-2.06,0.69,-1.14,-0.81,4.25,0.08,0.35
198712,6.81,0.07,-4.46,3.03,-2.44,5.83,5.9,-9.32,1.98,0.39
198801,4.21,-0.55,5.16,-1.08,2.13,-7.58,7.91,3.75,-1.63,0.29
