date,isu,acr,ivol1m
07-01-1989,0.027547454,-0.000166784,0.093818868
08-01-1989,-0.015497011,-0.008963621,0.001431755
09-01-1989,0.027054042,0.002718983,-0.001470558
10-01-1989,0.004159548,0.004893205,0.05788786
11-01-1989,-0.003442812,0.017668408,0.071623269
12-01-1989,-0.011825751,0.013822901,0.042368632
01-01-1990,-0.023111025,-0.006263877,0.024485333
02-01-1990,-0.00349507,-0.001610054,0.005326446
03-01-1990,0.016400665,0.001267749,0.023560495
04-01-1990,0.020873124,-0.006653695,0.020434866
05-01-1990,0.035028498,-0.017008575,0.045092191
06-01-1990,0.022381691,0.006295677,0.012395834
07-01-1990,-0.020121907,0.011451581,0.072205594
08-01-1990,-0.005796068,0.01472764,0.025294619
09-01-1990,-0.008585585,0.020845102,0.100020691
10-01-1990,0.020229117,0.001381047,0.10614524
11-01-1990,0.025708641,-0.01714289,0.007359796
12-01-1990,0.015337027,-0.004610183,0.090139126
01-01-1991,0.010791917,-0.0143463,-0.031441185
02-01-1991,0.014481437,-0.010470143,-0.113786189
03-01-1991,0.022402282,-0.015963052,-0.043944651
04-01-1991,0.004237917,-0.011904084,0.025342061
05-01-1991,0.015873219,-0.015271589,0.022303568
06-01-1991,-0.009778217,-0.002409104,0.01828923
07-01-1991,0.030599834,-0.010338259,-0.001330027
08-01-1991,0.025548419,-0.005019835,-0.013494358
09-01-1991,-0.018137339,0.000358174,0.002457447
10-01-1991,0.01291733,0.002730587,-0.017688803
11-01-1991,0.015421129,-0.004290007,0.034629631
12-01-1991,0.065919224,-0.009247825,0.071601008
01-01-1992,-0.01581724,0.01076002,-0.168131481
02-01-1992,-0.009895438,0.007630814,-0.039493141
03-01-1992,-0.006086369,-0.010024878,0.024272993
04-01-1992,-0.033233842,-0.010645525,0.108304687
05-01-1992,0.00605711,-0.003292616,0.00387828
06-01-1992,-0.005666564,-0.002627305,0.073202928
07-01-1992,0.005648323,-0.003120012,0.010930475
08-01-1992,0.011530649,-0.008981026,0.044797741
09-01-1992,0.015096199,-0.003394064,0.018789303
10-01-1992,0.039195126,-0.011398672,0.006891147
11-01-1992,0.033355251,-0.007520024,-0.042614276
12-01-1992,0.020789147,-0.010782911,-0.012271345
01-01-1993,0.014337206,0.021238873,-0.083962006
02-01-1993,-0.012145969,0.022043799,0.060406729
03-01-1993,0.00547139,0.011117719,0.023192838
04-01-1993,-0.045019644,0.033490745,-0.021576043
05-01-1993,0.022965457,-0.000619384,-0.06086224
06-01-1993,0.018949413,-0.007539695,0.020274514
07-01-1993,-0.014891312,0.012738564,-0.006967338
08-01-1993,0.007744946,-0.00060943,-0.000932107
09-01-1993,0.022579962,0.003400403,-0.016537704
10-01-1993,-0.019189033,0.018251852,-0.052898021
11-01-1993,-0.010232432,-0.009184869,0.021052118
12-01-1993,0.004383297,0.005273069,0.045179509
01-01-1994,-0.000484936,-0.004861975,-0.003461885
02-01-1994,0.021108515,0.001568023,-0.00493461
03-01-1994,-0.006082544,0.004086868,0.048727195
04-01-1994,0.010783783,0.005397918,0.070773291
05-01-1994,0.010129411,-0.001561316,0.030215137
06-01-1994,-0.001086688,0.003926929,0.037751427
07-01-1994,0.004022305,-0.004810091,0.038568208
08-01-1994,0.01267089,-0.004014812,-0.031862895
09-01-1994,-0.012978918,0.004977654,-0.026185094
10-01-1994,0.004456891,-0.000733085,0.035333995
11-01-1994,-0.0096178,-0.007079327,0.02235046
12-01-1994,-0.010839592,0.014246829,0.064337705
01-01-1995,0.014280741,-0.001102629,0.012837179
02-01-1995,0.017569975,-0.002434125,0.080590805
03-01-1995,-0.011231228,-0.000152091,0.003369486
04-01-1995,0.001529103,-0.006546402,-0.013214038
05-01-1995,0.01672456,-0.007938025,0.031064705
06-01-1995,0.046474582,-0.018241958,-0.058798172
07-01-1995,0.031609034,-0.000164311,-0.062703611
